temperature,delta_temp,gas_ppm,heart_rate,accel_magnitude,jerk,risk_score,risk_level
30.48,-0.46,5.66,65.0,1.12,0.84,0.0,Low Risk
27.31,-0.22,10.34,51.0,1.17,0.79,0.0,Low Risk
31.24,-0.37,6.93,73.4,1.22,0.77,0.0,Low Risk
35.62,-0.17,0.21,100.2,0.66,0.41,8.55,Low Risk
26.83,-0.01,61.39,91.8,0.87,1.02,38.71,Low Risk
26.83,0.52,9.41,80.0,0.53,0.24,0.79,Low Risk
35.9,-0.06,7.7,72.5,1.19,1.76,4.71,Low Risk
31.84,-0.69,37.11,73.0,0.95,-1.09,16.83,Low Risk
25.65,0.67,2.03,82.0,1.11,-0.23,0.0,Low Risk
30.71,-0.32,2.52,60.8,0.63,0.78,0.0,Low Risk
25.68,0.07,19.8,73.7,1.35,0.44,2.98,Low Risk
25.67,0.32,3.63,76.1,7.77,59.02,46.24,Medium Risk
29.21,0.2,19.27,55.7,1.19,0.64,0.0,Low Risk
18.43,0.65,3.8,64.9,1.03,-0.47,0.78,Low Risk
19.38,0.34,0.41,87.4,0.95,-0.33,0.0,Low Risk
25.19,-0.33,8.73,80.2,0.93,0.4,0.0,Low Risk
22.94,1.19,2.63,74.4,0.84,0.81,0.01,Low Risk
29.57,0.2,17.02,63.6,1.32,-0.07,1.58,Low Risk
23.46,0.03,12.3,108.4,1.0,-0.94,0.0,Low Risk
20.94,0.58,30.86,64.9,0.68,0.68,8.29,Low Risk
35.33,0.22,18.33,84.5,0.9,0.89,4.5,Low Risk
26.87,0.3,2.39,71.2,1.03,-0.37,0.75,Low Risk
28.34,1.35,19.32,80.7,1.22,0.19,0.47,Low Risk
20.88,-0.04,12.32,88.2,0.85,1.23,0.0,Low Risk
25.28,-0.06,13.27,55.3,0.87,-0.43,0.68,Low Risk
28.55,0.16,21.42,79.9,1.01,0.47,0.0,Low Risk
22.25,0.64,10.23,101.4,1.22,-0.03,0.0,Low Risk
29.88,-0.65,7.53,111.7,0.66,2.25,0.0,Low Risk
25.0,-0.88,12.15,77.7,1.13,-0.48,1.41,Low Risk
